2026-04-25T15:29:03.784070 | 2026-04-25 | FACT-2026-04-25-0039 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223806 | 2026-04-25 | FACT-2026-04-25-0113 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223807 | 2026-04-25 | FACT-2026-04-25-0114 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223808 | 2026-04-25 | FACT-2026-04-25-0115 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223809 | 2026-04-25 | FACT-2026-04-25-0116 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223810 | 2026-04-25 | FACT-2026-04-25-0117 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223811 | 2026-04-25 | FACT-2026-04-25-0118 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.223812 | 2026-04-25 | FACT-2026-04-25-0119 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224019 | 2026-04-25 | FACT-2026-04-25-0120 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224021 | 2026-04-25 | FACT-2026-04-25-0121 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224023 | 2026-04-25 | FACT-2026-04-25-0122 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224024 | 2026-04-25 | FACT-2026-04-25-0123 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224025 | 2026-04-25 | FACT-2026-04-25-0124 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224026 | 2026-04-25 | FACT-2026-04-25-0125 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224027 | 2026-04-25 | FACT-2026-04-25-0126 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224028 | 2026-04-25 | FACT-2026-04-25-0127 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224029 | 2026-04-25 | FACT-2026-04-25-0128 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224029 | 2026-04-25 | FACT-2026-04-25-0129 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224030 | 2026-04-25 | FACT-2026-04-25-0130 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224031 | 2026-04-25 | FACT-2026-04-25-0131 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224032 | 2026-04-25 | FACT-2026-04-25-0132 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224033 | 2026-04-25 | FACT-2026-04-25-0133 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224034 | 2026-04-25 | FACT-2026-04-25-0134 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224035 | 2026-04-25 | FACT-2026-04-25-0135 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224036 | 2026-04-25 | FACT-2026-04-25-0136 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224037 | 2026-04-25 | FACT-2026-04-25-0137 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224038 | 2026-04-25 | FACT-2026-04-25-0138 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224039 | 2026-04-25 | FACT-2026-04-25-0139 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224040 | 2026-04-25 | FACT-2026-04-25-0140 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224041 | 2026-04-25 | FACT-2026-04-25-0141 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224042 | 2026-04-25 | FACT-2026-04-25-0142 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224043 | 2026-04-25 | FACT-2026-04-25-0143 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224044 | 2026-04-25 | FACT-2026-04-25-0144 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224045 | 2026-04-25 | FACT-2026-04-25-0145 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224046 | 2026-04-25 | FACT-2026-04-25-0146 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224047 | 2026-04-25 | FACT-2026-04-25-0147 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224048 | 2026-04-25 | FACT-2026-04-25-0148 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224049 | 2026-04-25 | FACT-2026-04-25-0149 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224050 | 2026-04-25 | FACT-2026-04-25-0150 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224051 | 2026-04-25 | FACT-2026-04-25-0151 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224052 | 2026-04-25 | FACT-2026-04-25-0152 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224053 | 2026-04-25 | FACT-2026-04-25-0153 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224054 | 2026-04-25 | FACT-2026-04-25-0154 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224055 | 2026-04-25 | FACT-2026-04-25-0155 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224056 | 2026-04-25 | FACT-2026-04-25-0156 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224057 | 2026-04-25 | FACT-2026-04-25-0157 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224058 | 2026-04-25 | FACT-2026-04-25-0158 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224059 | 2026-04-25 | FACT-2026-04-25-0159 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224060 | 2026-04-25 | FACT-2026-04-25-0160 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224061 | 2026-04-25 | FACT-2026-04-25-0161 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224062 | 2026-04-25 | FACT-2026-04-25-0162 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224063 | 2026-04-25 | FACT-2026-04-25-0163 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224064 | 2026-04-25 | FACT-2026-04-25-0164 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224065 | 2026-04-25 | FACT-2026-04-25-0165 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224066 | 2026-04-25 | FACT-2026-04-25-0166 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224067 | 2026-04-25 | FACT-2026-04-25-0167 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224068 | 2026-04-25 | FACT-2026-04-25-0168 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224069 | 2026-04-25 | FACT-2026-04-25-0169 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224070 | 2026-04-25 | FACT-2026-04-25-0170 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224071 | 2026-04-25 | FACT-2026-04-25-0171 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224072 | 2026-04-25 | FACT-2026-04-25-0172 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224073 | 2026-04-25 | FACT-2026-04-25-0173 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224074 | 2026-04-25 | FACT-2026-04-25-0174 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.224074 | 2026-04-25 | FACT-2026-04-25-0175 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235336 | 2026-04-26 | FACT-2026-04-26-0003 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235341 | 2026-04-26 | FACT-2026-04-26-0004 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235343 | 2026-04-26 | FACT-2026-04-26-0005 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235344 | 2026-04-26 | FACT-2026-04-26-0006 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235345 | 2026-04-26 | FACT-2026-04-26-0007 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235346 | 2026-04-26 | FACT-2026-04-26-0008 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235347 | 2026-04-26 | FACT-2026-04-26-0009 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235348 | 2026-04-26 | FACT-2026-04-26-0011 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235350 | 2026-04-26 | FACT-2026-04-26-0012 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235351 | 2026-04-26 | FACT-2026-04-26-0013 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235352 | 2026-04-26 | FACT-2026-04-26-0014 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235353 | 2026-04-26 | FACT-2026-04-26-0015 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235354 | 2026-04-26 | FACT-2026-04-26-0016 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235355 | 2026-04-26 | FACT-2026-04-26-0017 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235356 | 2026-04-26 | FACT-2026-04-26-0018 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235357 | 2026-04-26 | FACT-2026-04-26-0019 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235358 | 2026-04-26 | FACT-2026-04-26-0020 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T16:47:53.235359 | 2026-04-26 | FACT-2026-04-26-0021 | skip | 旧事实置信度更高(0.9 >= 0.9)，需用户确认
2026-04-26T16:47:53.235360 | 2026-04-26 | FACT-2026-04-26-0022 | skip | 旧事实置信度更高(0.85 >= 0.85)，需用户确认
2026-04-26T16:47:53.235361 | 2026-04-26 | FACT-2026-04-26-0023 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235362 | 2026-04-26 | FACT-2026-04-26-0024 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235363 | 2026-04-26 | FACT-2026-04-26-0025 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235364 | 2026-04-26 | FACT-2026-04-26-0026 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235365 | 2026-04-26 | FACT-2026-04-26-0027 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235366 | 2026-04-26 | FACT-2026-04-26-0028 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235367 | 2026-04-26 | FACT-2026-04-26-0029 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235368 | 2026-04-26 | FACT-2026-04-26-0030 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235369 | 2026-04-26 | FACT-2026-04-26-0031 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235370 | 2026-04-26 | FACT-2026-04-26-0032 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235371 | 2026-04-26 | FACT-2026-04-26-0033 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235372 | 2026-04-26 | FACT-2026-04-26-0034 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235373 | 2026-04-26 | FACT-2026-04-26-0035 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235375 | 2026-04-26 | FACT-2026-04-26-0036 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235376 | 2026-04-26 | FACT-2026-04-26-0037 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235377 | 2026-04-26 | FACT-2026-04-26-0038 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235378 | 2026-04-26 | FACT-2026-04-26-0039 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235379 | 2026-04-26 | FACT-2026-04-26-0041 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235380 | 2026-04-26 | FACT-2026-04-26-0042 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235381 | 2026-04-26 | FACT-2026-04-26-0043 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235382 | 2026-04-26 | FACT-2026-04-26-0044 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235383 | 2026-04-26 | FACT-2026-04-26-0045 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235384 | 2026-04-26 | FACT-2026-04-26-0046 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235385 | 2026-04-26 | FACT-2026-04-26-0047 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235386 | 2026-04-26 | FACT-2026-04-26-0048 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235387 | 2026-04-26 | FACT-2026-04-26-0049 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235388 | 2026-04-26 | FACT-2026-04-26-0050 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235389 | 2026-04-26 | FACT-2026-04-26-0051 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235390 | 2026-04-26 | FACT-2026-04-26-0052 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235391 | 2026-04-26 | FACT-2026-04-26-0053 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235392 | 2026-04-26 | FACT-2026-04-26-0054 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235393 | 2026-04-26 | FACT-2026-04-26-0055 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235394 | 2026-04-26 | FACT-2026-04-26-0056 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235395 | 2026-04-26 | FACT-2026-04-26-0057 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235396 | 2026-04-26 | FACT-2026-04-26-0058 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235397 | 2026-04-26 | FACT-2026-04-26-0059 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235398 | 2026-04-26 | FACT-2026-04-26-0060 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235399 | 2026-04-26 | FACT-2026-04-26-0061 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235400 | 2026-04-26 | FACT-2026-04-26-0062 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235401 | 2026-04-26 | FACT-2026-04-26-0063 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235402 | 2026-04-26 | FACT-2026-04-26-0064 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235403 | 2026-04-26 | FACT-2026-04-26-0065 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235404 | 2026-04-26 | FACT-2026-04-26-0066 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235405 | 2026-04-26 | FACT-2026-04-26-0067 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235406 | 2026-04-26 | FACT-2026-04-26-0068 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235428 | 2026-04-26 | FACT-2026-04-26-0069 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235430 | 2026-04-26 | FACT-2026-04-26-0070 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235431 | 2026-04-26 | FACT-2026-04-26-0071 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235432 | 2026-04-26 | FACT-2026-04-26-0072 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235433 | 2026-04-26 | FACT-2026-04-26-0073 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235434 | 2026-04-26 | FACT-2026-04-26-0074 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235435 | 2026-04-26 | FACT-2026-04-26-0075 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235436 | 2026-04-26 | FACT-2026-04-26-0076 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235437 | 2026-04-26 | FACT-2026-04-26-0077 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235438 | 2026-04-26 | FACT-2026-04-26-0078 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235439 | 2026-04-26 | FACT-2026-04-26-0079 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235440 | 2026-04-26 | FACT-2026-04-26-0080 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235441 | 2026-04-26 | FACT-2026-04-26-0081 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235442 | 2026-04-26 | FACT-2026-04-26-0082 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235443 | 2026-04-26 | FACT-2026-04-26-0083 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235444 | 2026-04-26 | FACT-2026-04-26-0084 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235445 | 2026-04-26 | FACT-2026-04-26-0085 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235446 | 2026-04-26 | FACT-2026-04-26-0086 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235447 | 2026-04-26 | FACT-2026-04-26-0087 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235448 | 2026-04-26 | FACT-2026-04-26-0088 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235449 | 2026-04-26 | FACT-2026-04-26-0089 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235450 | 2026-04-26 | FACT-2026-04-26-0090 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235450 | 2026-04-26 | FACT-2026-04-26-0091 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235451 | 2026-04-26 | FACT-2026-04-26-0092 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235452 | 2026-04-26 | FACT-2026-04-26-0093 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235453 | 2026-04-26 | FACT-2026-04-26-0094 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235454 | 2026-04-26 | FACT-2026-04-26-0095 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235455 | 2026-04-26 | FACT-2026-04-26-0096 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235456 | 2026-04-26 | FACT-2026-04-26-0097 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235457 | 2026-04-26 | FACT-2026-04-26-0098 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235458 | 2026-04-26 | FACT-2026-04-26-0099 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235459 | 2026-04-26 | FACT-2026-04-26-0100 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235460 | 2026-04-26 | FACT-2026-04-26-0101 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235461 | 2026-04-26 | FACT-2026-04-26-0102 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235462 | 2026-04-26 | FACT-2026-04-26-0103 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235463 | 2026-04-26 | FACT-2026-04-26-0104 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235464 | 2026-04-26 | FACT-2026-04-26-0105 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235465 | 2026-04-26 | FACT-2026-04-26-0106 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235466 | 2026-04-26 | FACT-2026-04-26-0107 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235467 | 2026-04-26 | FACT-2026-04-26-0108 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235468 | 2026-04-26 | FACT-2026-04-26-0109 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235469 | 2026-04-26 | FACT-2026-04-26-0110 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235470 | 2026-04-26 | FACT-2026-04-26-0111 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235471 | 2026-04-26 | FACT-2026-04-26-0112 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235472 | 2026-04-26 | FACT-2026-04-26-0113 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235473 | 2026-04-26 | FACT-2026-04-26-0114 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235474 | 2026-04-26 | FACT-2026-04-26-0115 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235475 | 2026-04-26 | FACT-2026-04-26-0116 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235476 | 2026-04-26 | FACT-2026-04-26-0117 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235477 | 2026-04-26 | FACT-2026-04-26-0118 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235478 | 2026-04-26 | FACT-2026-04-26-0119 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235479 | 2026-04-26 | FACT-2026-04-26-0120 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235480 | 2026-04-26 | FACT-2026-04-26-0121 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235481 | 2026-04-26 | FACT-2026-04-26-0122 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235482 | 2026-04-26 | FACT-2026-04-26-0123 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235483 | 2026-04-26 | FACT-2026-04-26-0124 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235484 | 2026-04-26 | FACT-2026-04-26-0125 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235485 | 2026-04-26 | FACT-2026-04-26-0126 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235486 | 2026-04-26 | FACT-2026-04-26-0127 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235487 | 2026-04-26 | FACT-2026-04-26-0128 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235488 | 2026-04-26 | FACT-2026-04-26-0129 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235489 | 2026-04-26 | FACT-2026-04-26-0130 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
2026-04-26T16:47:53.235490 | 2026-04-26 | FACT-2026-04-26-0131 | skip | 旧事实置信度更高(0.75 >= 0.75)，需用户确认
